유형,법정동,중학생,고등학생,잠정고객수,학원수,아파트세대수
메가타겟,대구 수성구 수성1가동 행정복지센터,12029,12996,1251,681,137736
메가타겟,경기 수원시 팔달구 인계동 행정복지센터,11265,13640,1245,304,108158
메가타겟,경기 수원시 영통구 매탄1동 행정복지센터,10526,14315,1242,265,96256
메가타겟,대구 수성구 수성2·3가동 행정복지센터,12394,12434,1241,766,114704
메가타겟,대구 수성구 중동 행정복지센터,11950,12803,1238,567,70881
메가타겟,경기 수원시 팔달구 지동 행정복지센터,8978,15247,1211,297,130827
메가타겟,경기 수원시 팔달구 우만1동 행정복지센터,9586,14408,1200,259,119163
메가타겟,대구 수성구 황금2동 행정복지센터,12559,11406,1198,753,93163
메가타겟,경기 광명시 광명1동 행정복지센터,11568,11728,1165,377,143062
메가타겟,경기 수원시 팔달구 우만2동 행정복지센터,9983,13134,1156,275,95347
메가타겟,경기 수원시 영통구 망포1동 행정복지센터,11032,12022,1153,567,109208
메가타겟,대구 수성구 범어2동 행정복지센터,11737,10723,1123,711,99013
메가타겟,대구 중구 대봉2동 행정복지센터,8989,13316,1115,687,149103
메가타겟,대구 수성구 범어3동 행정복지센터,11213,11063,1114,816,124472
메가타겟,대구 남구 대명3동 행정복지센터,8436,13611,1102,269,71083
메가타겟,대전 중구 은행선화동 행정복지센터,9461,12520,1099,244,96893
메가타겟,대구 수성구 수성4가동 행정복지센터,11044,10474,1076,857,137398
메가타겟,경기 수원시 팔달구 매교동 행정복지센터,7316,14076,1070,291,97536
메가타겟,부산 동래구 안락제1동 행정복지센터,11447,9849,1065,485,126653
메가타겟,경기 고양시 일산동구 중산2동 행정복지센터,10974,10292,1063,394,139693
메가타겟,부산 동래구 명장제2동 행정복지센터,10852,10367,1061,497,84905
메가타겟,대구 동구 신천4동 행정복지센터,11354,9761,1056,772,123529
메가타겟,대구 중구 대봉1동 행정복지센터,8747,12294,1052,672,145288
메가타겟,대구 수성구 만촌1동 행정복지센터,10555,10466,1051,716,105185
